t_ms,lat,lon,speed_kmh,heading_deg,sats,lap,lap_time_ms,best_lap_ms,delta_ms
0,-23.703600,-46.698140,31.15,90.0,11,1,100,38500,0
100,-23.703589,-46.698135,32.30,89.5,11,1,200,38500,0
200,-23.703589,-46.698135,33.46,89.5,12,1,300,38500,0
300,-23.703576,-46.698130,34.61,89.0,11,1,400,38500,0
400,-23.703563,-46.698126,35.76,88.5,12,1,500,38500,0
500,-23.703563,-46.698126,36.91,88.5,10,1,600,38500,0
600,-23.703550,-46.698123,38.06,88.0,9,1,700,38500,0
700,-23.703536,-46.698120,39.22,87.5,9,1,799,38500,0
800,-23.703536,-46.698120,40.37,87.5,10,1,899,38500,0
900,-23.703523,-46.698118,41.52,86.9,9,1,999,38500,0
1000,-23.703510,-46.698116,42.67,86.4,9,1,1099,38500,0
1100,-23.703496,-46.698115,43.82,85.9,11,1,1200,38500,0
1200,-23.703482,-46.698115,44.98,85.3,10,1,1300,38500,0
1300,-23.703469,-46.698116,46.13,84.8,8,1,1400,38500,0
1400,-23.703469,-46.698116,47.28,84.8,9,1,1500,38500,0
1500,-23.703456,-46.698117,48.43,84.3,8,1,1600,38500,0
1600,-23.703443,-46.698118,49.58,83.8,8,1,1700,38500,0
1700,-23.703429,-46.698121,50.74,83.3,10,1,1800,38500,0
1800,-23.703416,-46.698124,51.89,82.7,11,1,1900,38500,0
1900,-23.703403,-46.698128,53.04,82.2,9,1,2000,38500,0
2000,-23.703390,-46.698132,54.19,81.7,8,1,2100,38500,0
2100,-23.703377,-46.698138,55.34,81.2,8,1,2200,38500,0
2200,-23.703365,-46.698144,56.50,80.6,11,1,2300,38500,0
2300,-23.703353,-46.698151,57.65,80.1,12,1,2400,38500,0
2400,-23.703342,-46.698158,58.80,79.6,10,1,2500,38500,0
2500,-23.703331,-46.698166,59.59,79.2,12,1,2600,38500,0
2600,-23.703309,-46.698185,60.74,78.2,9,1,2700,38500,0
2700,-23.703300,-46.698195,61.89,77.7,10,1,2800,38500,0
2800,-23.703291,-46.698206,63.04,77.3,8,1,2900,38500,0
2900,-23.703282,-46.698217,64.19,76.8,11,1,3000,38500,0
3000,-23.703274,-46.698230,65.35,76.4,9,1,3100,38500,0
3100,-23.703266,-46.698241,66.50,76.0,9,1,3200,38500,0
3200,-23.703252,-46.698266,67.65,75.2,10,1,3300,38500,0
3300,-23.703246,-46.698279,68.80,74.8,11,1,3400,38500,0
3400,-23.703240,-46.698291,69.95,74.4,8,1,3500,38500,0
3500,-23.703229,-46.698319,71.11,73.6,10,1,3600,38500,0
3600,-23.703224,-46.698333,72.26,73.3,10,1,3700,38500,0
3700,-23.703219,-46.698347,73.41,72.9,10,1,3800,38500,0
3800,-23.703212,-46.698374,74.56,72.3,12,1,3900,38500,0
3900,-23.703208,-46.698387,75.71,71.9,10,1,4000,38500,0
4000,-23.703202,-46.698417,76.87,71.3,9,1,4100,38500,0
4100,-23.703199,-46.698431,76.44,71.0,8,1,4200,38500,0
4200,-23.703196,-46.698445,77.59,70.6,10,1,4300,38500,0
4300,-23.703192,-46.698474,78.74,70.0,9,1,4400,38500,0
4400,-23.703190,-46.698489,76.22,69.7,10,1,4500,38500,0
4500,-23.703187,-46.698517,77.37,69.1,9,1,4600,38500,0
4600,-23.703185,-46.698533,78.20,68.8,8,1,4699,38500,0
4700,-23.703183,-46.698562,79.35,68.2,10,1,4799,38500,0
